paradigm,visibility,stim_type,voltage,sub_num,IB
masking,visible,f,-1.083199497,sub12,yes
masking,visible,f,-6.85747145,sub12,yes
masking,visible,f,-5.496073474,sub12,yes
masking,visible,f,3.166250051,sub12,yes
masking,visible,f,-0.838337974,sub12,yes
masking,visible,f,-1.404942608,sub12,yes
masking,visible,f,2.928376394,sub12,yes
masking,visible,f,-0.506581939,sub12,yes
masking,visible,f,-0.550791331,sub12,yes
masking,visible,f,1.42995043,sub12,yes
masking,visible,f,-4.527463707,sub12,yes
masking,visible,f,9.234048451,sub12,yes
masking,visible,f,-1.10444839,sub12,yes
masking,visible,f,-3.227504637,sub12,yes
masking,visible,f,-3.900321911,sub12,yes
masking,visible,f,-3.378102769,sub12,yes
masking,visible,f,3.412714896,sub12,yes
masking,visible,f,0.434357085,sub12,yes
masking,visible,f,4.572483859,sub12,yes
masking,visible,f,-6.235171479,sub12,yes
masking,visible,f,0.403218184,sub12,yes
masking,visible,f,-2.729335354,sub12,yes
masking,visible,f,4.337686326,sub12,yes
masking,visible,f,-4.09958384,sub12,yes
masking,visible,f,-0.628642459,sub12,yes
masking,visible,f,-7.991958061,sub12,yes
masking,visible,f,-2.024526057,sub12,yes
masking,visible,f,0.1912658,sub12,yes
masking,visible,f,-1.140042338,sub12,yes
masking,visible,f,-2.449010388,sub12,yes
masking,visible,f,1.335349196,sub12,yes
masking,visible,f,-3.878822054,sub12,yes
masking,visible,f,-2.387670389,sub12,yes
masking,visible,f,-2.956407037,sub12,yes
masking,visible,f,-4.899567888,sub12,yes
masking,visible,f,0.339563069,sub12,yes
masking,visible,f,5.843446722,sub12,yes
masking,visible,f,-1.622413826,sub12,yes
masking,visible,f,-0.317088689,sub12,yes
masking,visible,f,0.493152932,sub12,yes
masking,visible,f,-5.621621146,sub12,yes
masking,visible,f,-2.572595085,sub12,yes
masking,visible,f,-0.502987026,sub12,yes
masking,visible,f,2.604367828,sub12,yes
masking,visible,f,-3.810387266,sub12,yes
masking,visible,f,-1.734063915,sub12,yes
masking,visible,f,5.67757695,sub12,yes
masking,visible,f,-2.470592104,sub12,yes
masking,visible,f,-0.630703528,sub12,yes
masking,visible,f,0.494674546,sub12,yes
masking,visible,f,1.035332362,sub12,yes
masking,visible,f,-4.047444859,sub12,yes
masking,visible,f,-0.432847322,sub12,yes
masking,visible,f,-0.511181311,sub12,yes
masking,visible,f,-3.389526024,sub12,yes
masking,visible,f,1.454951391,sub12,yes
masking,visible,f,-4.650229963,sub12,yes
masking,visible,f,0.433392368,sub12,yes
masking,visible,f,1.052659595,sub12,yes
masking,visible,f,-4.258714838,sub12,yes
masking,visible,f,1.070597002,sub12,yes
masking,visible,f,-0.762786964,sub12,yes
masking,visible,f,5.316840906,sub14,yes
masking,visible,f,-2.276777794,sub14,yes
masking,visible,f,-8.519583029,sub14,yes
masking,visible,f,1.683055622,sub14,yes
masking,visible,f,-2.583366112,sub14,yes
masking,visible,f,-1.062241029,sub14,yes
masking,visible,f,-5.47556729,sub14,yes
masking,visible,f,-2.078527353,sub14,yes
masking,visible,f,-2.462724804,sub14,yes
masking,visible,f,-1.399583696,sub14,yes
masking,visible,f,-3.338125849,sub14,yes
masking,visible,f,-3.929894019,sub14,yes
masking,visible,f,2.868959986,sub14,yes
masking,visible,f,-1.465605924,sub14,yes
masking,visible,f,-7.027278795,sub14,yes
masking,visible,f,-5.327252055,sub14,yes
masking,visible,f,-1.853017606,sub14,yes
masking,visible,f,-4.452482124,sub14,yes
masking,visible,f,-3.123606943,sub14,yes
masking,visible,f,-1.782919897,sub14,yes
masking,visible,f,-3.851005833,sub14,yes
masking,visible,f,1.622693619,sub14,yes
masking,visible,f,-1.835471121,sub14,yes
masking,visible,f,-3.686061368,sub14,yes
masking,visible,f,-10.03635912,sub14,yes
masking,visible,f,-2.69792531,sub14,yes
masking,visible,f,-3.283649982,sub14,yes
masking,visible,f,-0.291718661,sub14,yes
masking,visible,f,-3.947488443,sub14,yes
masking,visible,f,-5.519051226,sub14,yes
masking,visible,f,-4.01014809,sub14,yes
masking,visible,f,-4.701643288,sub14,yes
masking,visible,f,3.031382104,sub14,yes
masking,visible,f,-7.88690528,sub14,yes
masking,visible,f,-3.189216331,sub14,yes
masking,visible,f,-1.979886317,sub14,yes
masking,visible,f,-4.22444021,sub14,yes
masking,visible,f,1.471147006,sub14,yes
masking,visible,f,-6.088447882,sub14,yes
masking,visible,f,-0.399224068,sub14,yes
masking,visible,f,4.310124542,sub14,yes
masking,visible,f,-4.77172866,sub14,yes
masking,visible,f,1.654610305,sub14,yes
masking,visible,f,-2.846037356,sub14,yes
masking,visible,f,-4.735254853,sub14,yes
masking,visible,f,-2.166733703,sub14,yes
masking,visible,f,-6.481628551,sub14,yes
masking,visible,f,-0.847827804,sub14,yes
masking,visible,f,-3.043580967,sub14,yes
masking,visible,f,-2.924713584,sub14,yes
masking,visible,f,0.639893489,sub14,yes
masking,visible,f,0.729985025,sub14,yes
masking,visible,f,-1.419851078,sub14,yes
masking,visible,f,4.47963046,sub14,yes
masking,visible,f,-3.557822982,sub14,yes
masking,visible,f,-3.084376711,sub14,yes
masking,visible,f,-2.523521576,sub14,yes
masking,visible,f,1.324958805,sub14,yes
masking,visible,f,-5.538744473,sub14,yes
masking,visible,f,-9.021291128,sub14,yes
masking,visible,f,0.008713164,sub14,yes
masking,visible,f,-3.795717079,sub14,yes
masking,visible,f,2.268700809,sub14,yes
masking,visible,f,1.038748904,sub14,yes
masking,visible,f,0.833651231,sub14,yes
masking,visible,f,2.131724,sub14,yes
masking,visible,f,-4.768827365,sub14,yes
masking,visible,f,-1.85935151,sub14,yes
masking,visible,f,-0.961490222,sub14,yes
masking,visible,f,2.250247484,sub14,yes
masking,visible,f,-5.095575725,sub14,yes
masking,visible,f,-1.898908011,sub14,yes
masking,visible,f,0.836362518,sub14,yes
masking,visible,f,0.311893507,sub14,yes
masking,visible,f,-0.721016014,sub14,yes
masking,visible,f,-3.282007878,sub14,yes
masking,visible,f,0.696925379,sub14,yes
masking,visible,f,-3.032925408,sub14,yes
masking,visible,f,-4.523618704,sub14,yes
masking,visible,f,-0.939205464,sub14,yes
masking,visible,f,-9.372044537,sub14,yes
masking,visible,f,-2.310131966,sub14,yes
masking,visible,f,-4.28342834,sub14,yes
masking,visible,f,-9.924136898,sub14,yes
masking,visible,f,-2.559703528,sub14,yes
masking,visible,f,-0.387190488,sub14,yes
masking,visible,f,-5.631516629,sub14,yes
masking,visible,f,0.766831736,sub14,yes
masking,visible,f,-3.927250479,sub14,yes
masking,visible,f,1.972881773,sub14,yes
masking,visible,f,-0.865728764,sub14,yes
masking,visible,f,-5.460051559,sub14,yes
masking,visible,f,-3.14409024,sub14,yes
masking,visible,f,-2.077108325,sub14,yes
masking,visible,f,-4.641799478,sub14,yes
masking,visible,f,3.798530801,sub14,yes
masking,visible,f,-2.916808245,sub14,yes
masking,visible,f,-8.020921034,sub14,yes
masking,visible,f,1.000697147,sub14,yes
masking,visible,f,-2.065436289,sub14,yes
masking,visible,f,-1.947402899,sub14,yes
masking,visible,f,-2.616942859,sub14,yes
masking,visible,f,0.271135694,sub14,yes
masking,visible,f,-4.939654173,sub14,yes
masking,visible,f,-3.501641699,sub14,yes
masking,visible,f,3.108757825,sub14,yes
masking,visible,f,-2.365956533,sub14,yes
masking,visible,f,-0.135973788,sub14,yes
masking,visible,f,3.852971182,sub15,no
masking,visible,f,-5.25559526,sub15,no
masking,visible,f,-3.747714349,sub15,no
masking,visible,f,-11.41250335,sub15,no
masking,visible,f,-16.01041188,sub15,no
masking,visible,f,-5.932660178,sub15,no
masking,visible,f,-1.457587286,sub15,no
masking,visible,f,-5.894162364,sub15,no
masking,visible,f,-3.024000938,sub15,no
masking,visible,f,4.462091845,sub15,no
masking,visible,f,-5.548216621,sub15,no
masking,visible,f,-6.116471898,sub15,no
masking,visible,f,-2.244591218,sub15,no
masking,visible,f,-10.36352642,sub15,no
masking,visible,f,-1.440844726,sub15,no
masking,visible,f,0.889264545,sub15,no
masking,visible,f,-7.883114891,sub15,no
masking,visible,f,0.407093788,sub15,no
masking,visible,f,-9.171831608,sub15,no
masking,visible,f,-10.67937581,sub15,no
masking,visible,f,-3.367457168,sub15,no
masking,visible,f,-6.793729654,sub15,no
masking,visible,f,3.832127139,sub15,no
masking,visible,f,-8.724187037,sub15,no
masking,visible,f,-6.804742447,sub15,no
masking,visible,f,-1.420024691,sub15,no
masking,visible,f,-4.299740541,sub15,no
masking,visible,f,2.456131743,sub15,no
masking,visible,f,3.052678982,sub15,no
masking,visible,f,-1.793790749,sub15,no
masking,visible,f,-7.229617696,sub15,no
masking,visible,f,-3.348461564,sub15,no
masking,visible,f,-2.221933032,sub15,no
masking,visible,f,-4.854516281,sub15,no
masking,visible,f,-3.868844792,sub15,no
masking,visible,f,-1.019244734,sub15,no
masking,visible,f,0.52512915,sub15,no
masking,visible,f,-0.212981867,sub15,no
masking,visible,f,0.213358171,sub15,no
masking,visible,f,-6.534039481,sub15,no
masking,visible,f,-4.959198152,sub15,no
masking,visible,f,-3.898314313,sub15,no
masking,visible,f,-2.670107875,sub15,no
masking,visible,f,-0.325533268,sub15,no
masking,visible,f,2.791337961,sub15,no
masking,visible,f,6.916746818,sub15,no
masking,visible,f,2.470390016,sub15,no
masking,visible,f,0.065962308,sub15,no
masking,visible,f,-4.013457615,sub15,no
masking,visible,f,-6.970325807,sub15,no
masking,visible,f,2.31995161,sub15,no
masking,visible,f,5.526857988,sub15,no
masking,visible,f,2.230082501,sub15,no
masking,visible,f,-1.457825409,sub15,no
masking,visible,f,2.324814107,sub15,no
masking,visible,f,-2.428133538,sub15,no
masking,visible,f,3.462403392,sub15,no
masking,visible,f,0.15497906,sub15,no
masking,visible,f,-7.311607818,sub15,no
masking,visible,f,-5.542792587,sub15,no
masking,visible,f,-0.750099481,sub15,no
masking,visible,f,-1.813634236,sub15,no
masking,visible,f,-8.114938943,sub15,no
masking,visible,f,-3.369933752,sub15,no
masking,visible,f,-0.768257694,sub15,no
masking,visible,f,-1.847824219,sub15,no
masking,visible,f,-0.958198813,sub15,no
masking,visible,f,3.979368286,sub15,no
masking,visible,f,0.143854785,sub15,no
masking,visible,f,-2.846330725,sub15,no
masking,visible,f,-1.623980267,sub15,no
masking,visible,f,-1.608303239,sub15,no
masking,visible,f,3.126743063,sub15,no
masking,visible,f,-7.520141478,sub15,no
masking,visible,f,-4.987667908,sub15,no
masking,visible,f,-1.344928571,sub15,no
masking,visible,f,-3.115329067,sub15,no
